,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_Issue_Education,Most_Important_Issue_Social,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Military,Most_Important_Issue_Financial,Most_Important_Issue_Environment,Occupation_Hightech,Occupation_Student_or_Unemployed,Occupation_Public_Sector,Occupation_Industry_or_other,Occupation_Services_or_Retail,Age_group_Below_30,Age_group_30-45,Age_group_45_and_up,Will_vote_only_large_party_Maybe,Will_vote_only_large_party_Yes,Will_vote_only_large_party_No,Main_transportation_Foot_or_bicycle,Main_transportation_Public_or_other,Main_transportation_Motorcycle_or_truck,Main_transportation_Car
2323,0.5555555555555554,-0.6902967582457307,-0.6307664710023982,-0.6915621395600146,-1,-0.49653205867575695,1,-1,-1,0.038259552332798874,-0.7477713735442664,0.9607066225034082,0.4047359764760958,0.9999999999999998,-0.7047103831706157,0.04485714285714293,-0.693658198104737,-0.3206959667937537,-0.47943974349270224,-0.4029196945403786,-0.5854185705374676,-0.18253799954841157,-0.3993012943734706,-0.02751123608960171,-0.5767496383694077,0.2423834770303924,1.6955184204751397,-0.41666235923320816,-1.3929278545469888,-0.5060703383213289,0.21478732560429242,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
1597,-0.5555555555555557,-0.08529744222495458,-0.9754172342168289,-0.08496289057560687,-1,-1.83831638353066,1,-1,-1,-0.09500599896755535,-0.07106807276694815,-0.11780547881683767,0.721474459245439,-0.10446531382727531,0.7905871837721904,0.32371428571428584,0.7451066888751285,-2.1959969410802223,-1.923548446039992,-2.110398928434861,-1.0360738757097645,-3.0495899782879996,1.9331433705114516,0.7343729758447572,-0.28459731009077,0.7783057223349095,-1.1499334788150948,-2.057650509267024,0.8389705110568382,-1.6345576088019464,-1.3275902315922465,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1616,0.5555555555555554,-0.2851055079728329,-0.9463629687725065,-0.28529935276122603,1,-1.7523580536667371,1,1,1,0.5776697696946598,-0.48421686610972137,0.6852092697836853,-0.868536217430051,0.08459643952588802,1.5903213721430738,-0.44399999999999995,-0.5199016897651575,-1.2996549822894836,-1.7171022463037668,-1.415953171837804,-1.0307682203724284,-1.2928694554274571,1.2712038686805462,0.470124231276422,-0.3996826026593375,0.7783057223349095,-1.1499334788150948,-1.4158426326675995,0.4669874501228671,-1.23065702011106,0.21478732560429242,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
2881,-0.11111111111111116,-1.2401722797619033,-0.8952224400942997,-1.2428918178198431,-1,-0.12346825567033082,1,1,-1,-0.8677870342899522,-0.4186273130393794,-0.9622342213988289,-0.7644998539565239,-0.09181941671200489,0.4548595453343945,-0.4968571428571429,-0.7760464821591128,0.7939633509715086,0.00915341912787623,0.47765677749165963,-0.3204673345848893,0.7858897147260121,-0.6921009059942177,0.29307974336573306,-0.6963993618520008,-1.9013055041876756,-1.1499334788150948,0.41520897741218277,-1.3929278545469888,-0.13307398447983823,-1.3275902315922465,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
6832,-0.3333333333333335,-0.9211415106450126,-0.6884251013287648,-0.9230173652977378,1,-0.1540606790325675,1,1,-1,0.6716412146345001,0.5253497373456246,0.5008538586776046,-0.04006446267393571,0.4779697857877685,-0.8794197127477309,0.21257142857142863,-0.4885445555591813,-0.056649539314367614,-0.1423505022604207,-0.07988210966326716,-0.3444812537602721,0.06706389861871456,-0.9111430880244054,0.854710110669741,-0.6438985224174355,0.7783057223349095,-1.1499334788150948,-0.07454607646266828,0.4669874501228671,-0.07955589798841878,0.21478732560429242,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
4109,-0.3333333333333335,-1.03955237653827,-0.736663751029838,-1.0417413713749522,1,0.04840567116709471,1,1,-1,-0.08143897086222207,0.5218263533091045,0.610721397415686,0.798132357213619,0.07689626117467374,0.3027701630279108,-0.35085714285714276,-0.4802354310172856,0.10347527842668422,0.057524425269181674,0.10122790609542731,-0.17795632988666096,0.21146156302283198,-1.0750274732348184,0.1414456560048567,-0.6688418682240416,-1.9013055041876756,0.7470344540450616,0.1083234893017256,-0.27697867174507523,0.11369833186933896,0.21478732560429242,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
8609,-0.7777777777777779,0.6307604995670637,1.9825209760695262,0.6329886804641721,-1,2.0268843006412247,-1,1,1,0.9389516279885148,-0.6415972976094073,-0.079128769890501,0.9068746895587152,-0.19489754590482267,1.1536968636428555,-0.02485714285714269,0.44891266653778117,2.331745790372731,2.1080767459978365,2.3202823388954794,2.391234511022818,1.8710824336818765,1.9950554465273649,-0.7367911982409718,0.27849335851880996,0.7783057223349095,-0.20144951238501654,2.307339117578818,0.4669874501228671,2.046548191955256,0.21478732560429242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
4008,-0.7777777777777779,0.08215120835289742,-0.40780495999055755,0.0829285813174846,1,-0.8301208759434385,1,1,-1,-0.2657879579872253,-0.053694288409441016,0.9158772477382293,-0.7228577259324951,-0.9245341372452995,-0.05829499127203602,0.8805714285714288,0.5680693806419255,0.13153948314389177,-0.7036541877370183,0.0633932563392549,-0.7708758073256413,0.23627872741888511,-0.12440285699213147,0.7144339358082272,-0.17402309837841887,0.7783057223349095,0.7470344540450616,0.21317381089022142,0.0950043891888959,0.5386907898395392,-1.3275902315922465,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
3364,-0.7777777777777779,-1.1415418209079302,-0.7799932313197184,-1.144000528670555,-1,0.33775852642427867,-1,-1,-1,-0.02962217281433388,-0.8144135363227581,-0.16409099729794263,0.4423621917022018,0.6243334291269411,0.8126118692725421,-0.8402857142857143,-0.19598361601907,-0.44554309121590274,0.22899828610583506,-0.17679906339441087,0.09109642555685542,-0.30620897940671554,-0.662035150345532,-0.646018299672585,-0.6851621703017461,-1.9013055041876756,-0.20144951238501654,-0.13106718162321274,-1.76491091548096,0.2899389023831118,0.21478732560429242,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4552,0.33333333333333304,-0.21022325646979,-0.1699757378818587,-0.21021907398448195,-1,-1.5300017534085106,1,-1,-1,0.571558567188893,-0.9893303515009422,-0.07860248071333431,-0.21608394909241058,0.8355808580445416,1.051907100925013,0.07285714285714295,-0.8429691135913987,-1.809370531814889,-1.5982211762780258,-1.8673132155931398,-1.002078305165272,-2.0973360799599043,1.6988799105162986,-0.08918165785706422,-0.3587009898377239,1.3142279676394264,-1.1499334788150948,-1.9154031826592495,1.9549196938587516,-1.938726375455652,0.21478732560429242,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
