,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_Issue_Education,Most_Important_Issue_Social,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Military,Most_Important_Issue_Financial,Most_Important_Issue_Environment,Occupation_Hightech,Occupation_Student_or_Unemployed,Occupation_Public_Sector,Occupation_Industry_or_other,Occupation_Services_or_Retail,Age_group_Below_30,Age_group_30-45,Age_group_45_and_up,Will_vote_only_large_party_Maybe,Will_vote_only_large_party_Yes,Will_vote_only_large_party_No,Main_transportation_Foot_or_bicycle,Main_transportation_Public_or_other,Main_transportation_Motorcycle_or_truck,Main_transportation_Car
Occupation_Satisfaction,1.0,0.019511794308371418,0.006952904692209326,0.019082195821974648,0.014852841427936553,0.01723811517823821,0.007654899660824827,0.015895842577328644,0.030990082792971715,0.008969357334737462,0.003052310018054623,0.00412017530693315,0.00668584864221414,0.0025841764861319096,0.0014361118272222114,0.0014610001209809083,0.021777526551005004,0.019004828404784724,0.018060769590019926,0.020399209719771882,0.014228038713410312,0.019101582092425577,0.007904243120330218,0.0385284171021947,0.010503601386701977,0.0009663676713234725,0.006881059767086436,0.021253936317750598,0.0012640931524503848,0.01861470697199233,0.006868046920477133,0.017033855171544997,0.008732139148877587,0.02203425732493994,0.017632544419046665,0.01583187634900772,0.011432948032102106,0.0037771353566711076,0.011424116324310644,0.002116753997205978,0.006759614050498042,0.02338127778065402,0.006032972414886474,0.0067569025976667125,0.016874360063768738,0.011135300020539416,0.02736580274143011,0.016590245538210133,0.006862863148866995,0.004651328999850446,0.0021907697501864134,0.0014285697907502743,0.012975725872364717,0.00827170913016058,0.006140136981981125
Avg_monthly_expense_when_under_age_21,0.019511794308371418,1.0,0.771511913924458,0.9966376070767939,0.0029991322046242414,0.027873955865416224,0.07672204140929285,0.018295539213822525,0.0010435895462904217,0.0016471079600048329,0.001605965680645556,0.006711754216543974,0.010212488447594816,0.00593592591589724,0.09614200449854103,0.005849064124682903,0.008931065769544388,0.008168360898487194,0.026212008269005528,0.00833077925602159,0.037734487365289504,0.015990493641040934,0.117517765351613,0.009071031754816121,0.9280335439579928,0.041433435680853274,0.009162717131023186,0.004026458122326064,0.07894989189716249,0.007981805086533698,0.011149923151252078,0.0011427277973855407,0.001781385106623068,0.03730540301385717,0.006475186560053359,0.03847828342430843,0.056654992065359226,0.030126805240571555,0.019206225347478883,0.005845024058924607,0.005376359729253817,0.003267671182877427,0.009291824720349746,0.025133513953397413,0.018268690110289563,0.013910493638338753,0.004939625234772635,0.0088476845333478,0.0005285133883913998,0.0005358081213068172,6.0208046648635814e-06,0.000635932142041532,0.014568943442318317,0.03777844922476841,0.02172210664651231
AVG_lottary_expanses,0.006952904692209326,0.771511913924458,1.0,0.7715029898480238,0.015118849826409368,0.5072067599091116,0.4342630141546995,0.009400665704517242,0.001637302617802917,0.006955554362441803,0.001447663695867937,0.0030213608654121233,0.005840126857051853,0.0020696918078133503,0.1282183098328371,0.011562112643441928,0.014633397242181928,0.298121269014665,0.4935587419539502,0.35273489114973705,0.49378180785374853,0.2658143141852163,0.1269021700908408,0.01407321665295884,0.7451756757444677,0.00569978199351062,0.001068708675712344,0.33386376126516504,0.05141700664475569,0.28967287064042535,0.02054782066564125,0.004677377225183888,0.011487175266249363,0.024925745974918898,0.0020276624782036502,0.01851203454225585,0.01378462677357037,0.01427672260318053,0.01816666048730668,0.00468887349990485,0.003314294050161457,0.01703643583610883,0.013492657178143732,0.008486262746026652,0.00946569571027433,0.010785161061829567,0.007190144953656063,0.0034620272690238747,0.00092843477296866,0.006660731859029523,0.007468432866740899,0.0054080195244167704,0.003107596317802523,0.028334465108113993,0.025298021903318292
Avg_monthly_expense_on_pets_or_plants,0.019082195821974648,0.9966376070767939,0.7715029898480238,1.0,0.003633850552424113,0.029218580141243504,0.07790095836537388,0.01875267287425844,0.0008743383285855158,0.0014669561704858058,0.0017401104181048912,0.00612904148233704,0.011289103875038273,0.004711093386844815,0.09506934077947705,0.0042399575260546225,0.0062166103497057115,0.008903776696949849,0.027478226755737637,0.009079250133565933,0.03877307818610416,0.015085023596818013,0.11637193108060061,0.00774414617658055,0.9269708352555494,0.04086965851148742,0.009017426547328464,0.0046061872851758355,0.07840162476631166,0.007965038354323857,0.011642559479196327,0.0002579879695850766,0.00045235436841333714,0.036619871202098676,0.005325254923617286,0.03849598506823823,0.055476560946419076,0.029024300812866027,0.019454754725564134,0.004917143489019033,0.002211903037227024,0.0022618706766121496,0.008906695255052728,0.02517889895830829,0.01649710664548208,0.013031156112191591,0.006356421583386565,0.0065400517044825945,0.0008333078198825179,0.00045241004525965663,0.000376558822556199,0.001451137983484692,0.013696990228078906,0.037255246645104934,0.02127660618264716
Looking_at_poles_results,0.014852841427936553,0.0029991322046242414,0.015118849826409368,0.003633850552424113,1.0,0.024389326035376434,0.02904328229995926,5.783663261335086e-05,0.01103675695679953,0.0002747243392296037,0.0035206575004551512,0.014519831970213209,0.0020143687363270457,0.019249988753413418,0.02278702500648152,0.008707077025135158,0.00714882167174867,0.010888145354437297,0.023655558911995746,0.015576443234014968,0.025943062322570654,0.007005873659661928,0.016782422653528986,0.0041558792716158525,0.0022126547559010038,0.01564306662975786,0.008981846783866487,0.01481132964212888,0.0022293609247339133,0.012712647732183011,0.006793979122427255,0.016767462663924437,0.007860591873040796,0.006374200884284073,0.01140968563514428,0.0131951346937922,0.022229926732624992,0.0054563158628960304,0.0011072694393629318,0.018820321740954025,0.00799432803771835,0.0042937416055196945,0.025747424274691347,0.008213501062947697,0.014017344786274626,0.010981586923501674,0.014845649143705104,0.004083402324543582,0.0248108726683475,0.024422291117588295,0.0004365603203566706,0.012539724629733748,0.003926127917971377,0.017221673895205843,0.025104754416588992
Avg_environmental_importance,0.01723811517823821,0.027873955865416224,0.5072067599091116,0.029218580141243504,0.024389326035376434,1.0,0.7743780016561531,0.008179755777957083,0.008865124275341384,0.010395068758569784,0.0028456205539595237,0.006775376487128286,0.013364714233752541,0.0007558716130519297,0.13303949328308295,0.0014995258985492615,0.003082484437178882,0.7358454633126419,0.9948142354618404,0.8329606930495613,0.9562571570057553,0.6992740168603913,0.08131136738962773,0.016520910125703944,0.04261967007813941,0.055623497979714616,0.019363878031490287,0.8109701915718892,0.010213801320742975,0.730139473593753,0.013239648994657459,0.005035078815951075,0.030090742513291004,0.0041431250191733176,0.019609168216235713,0.02938749238102983,0.0687986398938839,0.020331581728111586,0.00877476789984341,0.0014431752700163722,0.013949086599390884,0.03976925147949422,0.01560259301065887,0.030167558688809812,0.009737456212089934,0.006954668612567859,0.007684466196172891,0.01469080697335216,0.010172499341844814,0.0029304659664407934,0.007147132887205486,0.015866756567724714,0.013431820749285232,0.01007091452305459,0.007514458323306804
Married,0.007654899660824827,0.07672204140929285,0.4342630141546995,0.07790095836537388,0.02904328229995926,0.7743780016561531,1.0,0.011933449817022391,0.013193484665366816,0.0006987157161887902,0.014913804940188933,0.011198273593301684,0.014122681221674555,0.010087921617541894,0.2751331821622185,0.00503721273341264,0.0004850304136176494,0.5441304258515253,0.7665909864257893,0.6114192959123746,0.7763744637316949,0.4823337756668668,0.20755318973444312,0.004907197370487809,0.09107333736827651,0.11804374478448544,0.019141628543750875,0.584575948477894,0.0733166448757442,0.4918014698342013,0.021809817406663427,0.015609411601005313,0.050768379608199195,0.021804265243679698,0.02731445932755153,0.05113936764691581,0.11529170988441374,0.06488525022761418,0.004672480369710137,0.019184641029533128,0.028544885234482304,0.025833944264450574,0.013698093335372905,0.03542295510401218,0.006720203057109833,0.008784282209844264,0.004064490024040306,0.004631460651042767,0.0004333809272511077,0.003328035146823847,0.002846881665701707,0.023410321078281122,0.004432124199289304,0.02507905574841109,0.005860987126388374
Gender,0.015895842577328644,0.018295539213822525,0.009400665704517242,0.01875267287425844,5.783663261335086e-05,0.008179755777957083,0.011933449817022391,1.0,0.0068354065592448245,0.0010866718148123194,0.021796337106162033,0.01563252969942781,0.007356207797796404,0.012577351198449178,0.007487466266815012,0.00681819891514246,0.01499909126951542,0.006784740189675037,0.005809847946779839,0.0017095977386920866,0.010035147000424315,0.012635923214159215,0.009070822548582973,0.029618434185120286,0.017121348900722096,0.015996908996715502,0.003611215957219545,0.0010857174376038808,0.005486538130449697,0.007337751965256584,0.0031759300303097144,0.00033186938377261144,0.010783179248574607,0.026267521493482802,0.004799127122538209,0.0024034070314363923,0.004571857960542104,0.00743944177053865,0.0022447429600762404,0.011920466943776504,0.02351449524935385,0.00985517716776612,0.01925510864640473,0.005937754279617048,0.009080946858942021,0.00440879969990855,0.00217197994686735,0.0065834264502149745,0.0019293056632223586,0.0002169063175869703,0.0016889187593199483,0.02846641058773018,0.013217975750681746,0.005822752544985442,0.02043614434351333
Voting_Time,0.030990082792971715,0.0010435895462904217,0.001637302617802917,0.0008743383285855158,0.01103675695679953,0.008865124275341384,0.013193484665366816,0.0068354065592448245,1.0,0.0011673401722658429,0.006363676191562737,0.006694602916208321,0.012815873658630883,0.013767970324288243,0.006205485827292264,0.01392691957520562,0.009901269475840727,0.011277492459866359,0.009627373538988836,0.011449685315964265,0.012576640225426556,0.004577040412763289,0.02136895605638701,0.003547560000719378,0.003725734202747516,0.014491289189512636,0.015321098896534033,0.012192212271467346,0.027917439157096036,0.008361883617589697,0.02412733430571593,0.00199472212288511,0.004863542557338579,0.0004555825930214558,0.0028660714398872087,0.004641095143034326,0.02199170990912433,0.010590667566732851,0.0008317676612087338,0.01566258986293247,0.0022535294373793356,0.014500744205313613,0.008700719430824079,4.421102323428894e-05,0.021716035526153414,0.005279977979006528,0.0033523980680465804,0.0018643434430476921,5.284703974387314e-05,0.008040598522370577,0.007858423913692604,0.010730033548349192,0.005801976402944197,0.006516533140310771,0.009863125259861286
Financial_balance_score_(0-1),0.008969357334737462,0.0016471079600048329,0.006955554362441803,0.0014669561704858058,0.0002747243392296037,0.010395068758569784,0.0006987157161887902,0.0010866718148123194,0.0011673401722658429,1.0,0.00586134568504855,0.020877653713286464,0.015841201263443315,0.0024248349779825385,0.0020675296582208236,0.0008956006285327014,0.0015140793286712278,0.019049564703751007,0.011906683402155012,0.012109011053417851,0.009329532567725708,0.018664974602452835,0.0002353699715174198,0.006357453454138117,0.006160819559586739,0.0018020020437039235,0.014438363772736239,0.010137379134880511,0.001606711921407911,0.0028991128445302705,0.00243731214772487,0.016667854614231148,0.00405932877985597,0.014886876420015821,0.0044616786991194006,0.004127758270926989,0.0006670458397931824,0.0029494734553486015,0.02444663871942506,0.0047123071751454864,0.025352066717908853,0.007039460496904632,0.0035879170255640135,0.03941554508428924,0.002893761186404683,0.005988678328726939,0.016511162348118197,0.010735962763163253,0.013327282131039625,0.005784074875462683,0.018831355107982922,0.00778980638592323,0.00147485661711516,0.003675995925831707,0.009724673540656424
