Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Khakis,4,98.17919042,9405.47859,Healthcare,32.72639681,Yes,287.3973156,Yes,Male,By_16:00,0.007587226,0.185549341,656.9283917,1.745237056,77.31780582,12.286,3714,34.85068486,308.5494533,3491.072062,36577.11383,Maybe,82597.21699,17.5655758,346.4204636,67.70774417,1113.743445,80,30-45,3,458.7690917,10,Car,Hightech,304.6697045,0,Yes
Oranges,5,514.9706652,61270.41754,Military,171.6568884,No,356.935385,Yes,Male,After_16:00,0.833285915,0.51190034,766.99006,2.895329932,69.56573369,2.284,9716,82.57003811,489.4977567,4548.349363,54259.87537,Yes,127402.8691,22.12459619,179.1384213,66.55809109,29647.74422,30,Below_30,2,672.592678,6,Public_or_other,Industry_or_other,392.7023169,2,No
Purples,5,75.74380227,9086.370209,Healthcare,25.24793409,Yes,359.8856911,Yes,Female,After_16:00,0.092808703,0.955487186,904.769266,7.088034519,88.68237992,5.086,4914,93.86802414,420.8401161,4440.537143,50465.02072,Maybe,129517.7107,20.51438803,164.8336887,42.78095844,672.7061099,80,30-45,0,646.9132537,12,Foot_or_bicycle,Hightech,464.3371602,,No
Turquoises,4,266.5096708,4703.108703,Healthcare,88.83655693,Yes,52.94114118,Yes,Male,By_16:00,0.127384437,0.845074164,713.5321149,5.521205461,34.39249226,8.077,7923,35.96262792,5.910487947,541.2323877,1976.77813,No,2802.76443,2.431149511,817.5679282,44.46078721,7990.770404,80,Below_30,2,23.74267706,11,Foot_or_bicycle,Public_Sector,26.25824757,0,Yes
Yellows,10,1079.479714,95476.46595,Social,359.8265714,No,265.3402321,Yes,Female,After_16:00,0.904928766,0.183812069,384.7995279,4.772793665,80.64928004,8.148,5852,45.81101462,352.0070159,3357.416353,41585.98027,Yes,70405.43875,18.76185001,299.3367707,69.54569279,129844.988,70,45_and_up,1,537.1367517,10,Foot_or_bicycle,Student_or_Unemployed,387.5928282,2,No
Khakis,8,580.6385656,9634.09573,Environment,193.5461885,Yes,49.7767267,Yes,Male,After_16:00,0.245813168,0.074770303,856.9006503,0.801602271,46.34215827,10.573,5427,77.61587296,445.919433,1389.606133,44072.80408,Yes,2477.722521,21.11680452,484.844898,63.59372374,37663.67329,,30-45,1,570.5017947,14,Public_or_other,Services_or_Retail,328.3932647,0,No
Blues,5,1158.972626,76439.71212,Education,386.3242086,No,197.8641525,Yes,Male,By_16:00,0.599725601,0.536702062,837.4844473,2.372219241,90.51076861,6.673,7327,19.31980785,359.0011338,2696.643793,37365.0841,Maybe,39150.22284,18.94732524,429.2680848,90.14881349,149642.7183,100,Below_30,3,457.6983663,14,Public_or_other,Hightech,229.6218611,1,Yes
Khakis,1,269.4426751,16335.4832,Education,89.81422503,Yes,181.8808011,Yes,Female,By_16:00,0.720126693,0.702946078,337.5173083,5.280393935,5.025477055,8.758,7242,74.51514076,275.9537528,2370.715516,25399.54473,Maybe,33080.6258,16.61185579,625.6535765,46.17490305,8166.409243,100,45_and_up,2,271.5740856,12,Car,Public_Sector,10.05525598,0,No
Whites,10,565.5725718,53625.30301,Education,188.5241906,No,284.4478623,Yes,Female,By_16:00,0.634207451,0.134825336,584.0234179,4.985117111,35.54717884,2.589,7411,4.808870982,298.209778,3440.898179,40902.5545,Yes,80910.58635,17.26875149,296.876024,6.273046625,35739.89464,100,30-45,3,562.2718169,10,Foot_or_bicycle,Industry_or_other,530.876461,0,No
Khakis,8,985.8562405,49312.78647,Environment,328.6187468,No,150.060783,Yes,Male,By_16:00,0.74242436,0.268289976,128.4137396,8.449138757,38.85235144,6.405,9595,86.0912683,464.0360223,2428.679875,46707.99992,Maybe,22518.2386,21.54149536,401.8120699,4.591416684,108328.8995,90,30-45,2,585.5533859,14,Foot_or_bicycle,Student_or_Unemployed,305.829775,0,Yes
