,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Military,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Social,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Education,Most_Important_Issue_Foreign_Affairs
2635,-0.09488481665595243,0.005483217062533698,0.009270750874898384,-0.8913000117210275,-0.968533486524357,0.23742857142857154,-0.932823669155139,0.8152269949082822,0,0,0,0,0,0,1,0
6462,1.635664499700534,1.6771091987934186,1.8692811563938152,-1.0339624681489092,1.2179332990182798,-0.117142857142857,1.358076826042498,-1.0534881796665765,0,0,0,0,0,1,0,0
1954,-0.4879891456090361,0.2872158509501982,0.7695777992484816,-1.223889929667003,-1.6479355397588458,0.8802857142857143,-0.27292747333400935,0.8152269949082822,0,0,0,0,1,0,0,0
6321,2.243643923915673,1.861651072063849,1.1090216736543568,-0.21621738966437057,0.10914914813959417,0.9319999999999999,1.4373077690401912,0.4414839599933105,0,1,0,0,0,0,0,0
4212,0.08057266322212973,-0.22254893428281447,0.021841521043324437,-0.6438668127794562,-0.17348210600595285,-0.5148571428571429,-0.8919474068047868,0.8152269949082822,0,0,0,0,0,0,1,0
3823,-0.7577717846804768,0.09690185084749828,0.5587978577022209,0.42593062227022915,-0.7674304787669483,0.04714285714285715,-0.16134101143407942,0.8152269949082822,0,0,0,0,0,0,1,0
5959,0.8360779433209901,0.2695520983456644,1.0018541468219688,-0.7526104170637529,1.5790732348709235,-0.45885714285714285,-0.18526417541424364,0.06774092507833876,0,1,0,0,0,0,0,0
7754,0.20254936536800103,0.10736525883296485,-0.13204378599555205,-0.12091046148410593,0.333804760409132,-0.4234285714285715,-1.144256638360227,-1.80097424949652,1,0,0,0,0,0,0,0
3338,-1.7833753060221205,-2.0152529367542136,-2.0976971606610233,-0.7898254661799401,2.0863601012860085,-0.9388571428571428,2.3153313438455734,0.8152269949082822,0,0,0,0,0,0,1,0
2541,-0.5312362526793935,-1.4118429768772143,-0.8618702909849,0.8804393384897801,0.474516474545697,0.5862857142857143,0.5909818999186102,1.188970029823254,0,0,0,0,0,0,1,0
1465,-0.26426631216983465,-0.1382180212464878,0.23794267062294558,-0.5194391376581456,-1.512357085580052,0.7520000000000002,-0.6777461378564545,-0.306002109836633,0,0,0,1,0,0,0,0
9597,0.8797663999269189,2.050754002470989,1.6591994773048688,0.29041734618961057,1.664224958876313,-0.5394285714285714,1.0847802623900504,-0.306002109836633,0,0,0,1,0,0,0,0
3732,0.5467712338235768,0.14663865706325635,-0.17746527712731042,-1.223889929667003,-0.9510200113743124,0.7922857142857143,-0.9668273998860565,-1.80097424949652,0,0,0,0,0,0,0,1
