,IdentityCard_Num,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Education,Most_Important_Issue_Financial,Most_Important_Issue_Social,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Environment,Most_Important_Issue_Military,Most_Important_Issue_Foreign_Affairs
0,1,-0.6917078124766158,-0.41625917976413057,-0.6914600830316027,0.08535941189467006,0.5331210833124166,-0.7462494642091728,0.049244767157626025,-0.6629265010409007,0,0,0,0,0,1,0,0
1,2,-0.7706401736182416,-0.653907194143049,-0.8490353359555758,0.3735322387738505,-0.5369473230381037,0.07443920560080008,0.30876905716320574,0.05984552364390145,1,0,0,0,0,0,0,0
2,3,-0.8959092828630189,0.5592350526720281,0.749764596120204,-1.1784046686294714,-0.32457302233483204,-0.17159594227746822,0.09832264142496121,1.1440035606711048,0,0,1,0,0,0,0,0
3,4,1.7210312674270472,1.3900160863115523,-0.03760707021774519,-0.5001948609460407,0.23840516777506918,-0.5202171738819832,0.29722592840217765,-0.30154048869849964,0,0,0,1,0,0,0,0
4,5,0.4598888582034845,-0.07352985391083797,-0.15016360747309673,-0.43570369770664397,-0.5365747365456417,0.07415345049292754,-1.1174231627672182,0.05984552364390145,1,0,0,0,0,0,0,0
5,6,-0.0342655779330802,0.041619622455127195,-0.08425145681942126,-0.778524830538375,-1.475120111057118,0.793970567223889,-0.9785224716284064,0.42123153598630253,0,0,0,1,0,0,0,0
6,7,1.6581253135482241,1.1497463843541469,-0.10286664097885494,-0.8978681817953708,0.08899798429785494,-0.4056293756250893,0.10275101488848305,-0.30154048869849964,1,0,0,0,0,0,0,0
7,8,-0.0768358686412947,0.7923243013486055,1.54044423189098,0.35704652063679443,1.0297788777641026,-0.5556508072581798,0.1752355657715699,0.05984552364390145,0,0,0,0,1,0,0,0
8,9,0.22396484143370204,0.6406149830564639,1.9819602576564757,-0.28554178249824663,0.4410922196743319,-0.10415773681954565,0.4999345509839796,-0.6629265010409007,0,0,0,0,1,0,0,0
9,10,-0.09552938651397781,-0.10210380359053575,-0.32406929824251174,-0.8847120383916204,0.7797733413221809,-0.935419345620803,-0.7675079013447402,0.05984552364390145,0,0,0,1,0,0,0,0
10,11,-0.22603639210962367,-0.057514283656456465,1.4610194964676042,-0.57180486329764,0.1944399616645675,0.08501214459208462,0.12421746427073846,-0.6629265010409007,0,0,0,0,0,0,1,0
11,12,-0.0420218213495543,-1.3155595799696562,-2.5568060117463443,1.6273198088365033,0.7298467513322888,0.24589227032433225,1.6037400127121495,1.1440035606711048,0,0,0,0,0,1,0,0
12,13,0.28358052934280314,-0.13703710712074513,-0.2156903257304038,-0.9232834855622064,-0.006011571279924472,-0.2710387198171167,-1.0162162344787269,-0.30154048869849964,0,0,0,0,0,1,0,0
13,14,1.5320484433233825,1.2111800598178073,-0.27214438942742464,-0.9293247792360632,-0.4810593491688217,0.0315759394199171,0.04804759027598808,-0.6629265010409007,0,0,0,0,0,1,0,0
14,15,-0.048717018745939734,-0.5807855449348583,-1.453524411406819,-1.1784046686294714,-0.5149647199828528,0.629089869981426,0.2828134220208455,0.42123153598630253,0,0,0,0,1,0,0,0
15,16,0.2589832266557611,-0.18159572286324435,0.7616922383895118,0.6557708179355577,-0.49484504938991125,0.6136590941563083,-0.6259292157749318,-0.30154048869849964,0,0,0,0,1,0,0,0
16,17,0.7998502404411232,-0.5694052407012301,0.27533333180491626,2.1233638214154418,0.010009647895936433,0.7979711387341051,-0.5180551838887834,-0.6629265010409007,0,1,0,0,0,0,0,0
17,18,-0.3047925888708261,-0.267370994081264,-0.45163774806562107,0.5312310373322433,-1.0466456447259558,0.4653521931704532,-0.4535148409010257,1.5053895730135058,0,0,0,1,0,0,0,0
18,19,-0.9265834169764513,0.22141145307090482,0.9918862136589077,0.7316743084082458,0.808089914749284,-0.957136733819117,0.23241861410049286,0.7826175483287037,1,0,0,0,0,0,0,0
19,20,-0.6158159202419106,-0.33208128944763804,-0.9695786233836434,-0.04972440749155501,-0.6405263679425063,0.1538791255893699,0.10467570703822648,-0.30154048869849964,0,0,0,1,0,0,0,0
20,21,0.5673122158362265,-0.43851007293740424,-0.20744978773255462,0.206818163716928,0.18326236689071101,-0.4779254179168453,-0.7309283258922666,-0.6629265010409007,0,0,1,0,0,0,0,0
21,22,-0.3644673206028455,-0.397874744123008,-1.2902049300687142,-0.07880770919983027,0.7965397334829655,-0.37676810972996133,0.19700015681483063,0.05984552364390145,0,0,0,0,1,0,0,0
