,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Education,Most_Important_Issue_Financial,Most_Important_Issue_Social,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Environment,Most_Important_Issue_Military,Most_Important_Issue_Foreign_Affairs
6388,0.2172708942491458,0.34137676374253934,0.41831879869246935,0.04640646398957114,0.8063281448004981,-0.866,-0.9363575728453408,-1.4148667051672803,0,0,0,0,0,0,0,1
1244,-1.7942334370475415,-2.072307993139374,-2.092397804423315,-0.7447539171428035,0.45788343960034933,0.6085714285714285,2.331551202466414,0.8302110418750157,0,0,1,0,0,0,0,0
7054,-0.54626751156259,-0.4353638099042826,-0.48320623423316644,-0.514435194724634,0.014899473299385242,-0.6839999999999999,-0.21468664457513184,-0.6665074561531816,1,0,0,0,0,0,0,0
9660,-0.021492757605600096,-0.14889143909556996,-0.2847145139136985,-0.306303333841132,-1.4283999128397316,0.69,-0.8182316526154689,0.8302110418750157,0,0,1,0,0,0,0,0
9856,0.35092432551755953,-0.18754953465151386,-0.14241716179507083,1.0227276681599138,-1.078754709085922,0.3571428571428572,-0.9203260638281774,-0.2923278316461323,0,0,0,0,0,1,0,0
7083,0.15184669936355275,-0.055379460929497006,0.4583867327031136,0.5281230580120071,-0.8860746912233074,0.17371428571428593,-0.8281672122006162,1.2043906663820652,0,0,0,1,0,0,0,0
1680,-0.4942450688102027,0.26954390103550463,0.6559728964976179,-0.19961286179041512,0.1490551866710187,-0.8117142857142856,-0.3542428771135648,0.08185179286091704,0,0,0,0,0,1,0,0
7775,0.115233530199581,-0.38358483345519806,-0.09828056070556788,-0.7201393181186073,-0.7825316909700333,0.07514285714285718,-0.7647314297472056,-0.2923278316461323,0,0,1,0,0,0,0,0
7169,-0.5768488460813722,-0.3978988672677347,-0.3823557383589904,-0.7956082241011893,-0.016613613734220056,-0.6539999999999999,-0.251256124961309,-0.6665074561531816,1,0,0,0,0,0,0,0
500,0.2690025413307643,-0.6122459411556543,-0.4495598444586039,1.517278511748,-0.3299437362397799,0.7871428571428574,-0.44534412323960026,-0.2923278316461323,0,1,0,0,0,0,0,0
8875,1.7721128219319358,0.7830626080675872,1.152885626928115,0.3988827072262873,1.0977491687017422,-0.000571428571428445,0.685647884383581,0.4560314173679664,1,0,0,0,0,0,0,0
1254,-1.4500296600268152,-0.28522862492013057,-1.5058188831728048,-1.224423757885889,0.9743979423130592,0.11685714285714299,1.038626861517261,0.4560314173679664,0,1,0,0,0,0,0,0
9851,-0.7902236090286631,-0.5443380406862488,-0.59299903035345,1.483995372585471,1.1835848152885142,-0.6537142857142857,0.07338170398701403,0.4560314173679664,0,0,0,0,0,1,0,0
4616,-1.5896535173524795,-1.3686560745433434,-1.5855705645554976,-0.3723982677893011,1.892779335863838,-0.7574285714285713,1.5534801504986246,-0.6665074561531816,0,0,1,0,0,0,0,0
754,-0.9730625484038493,-0.3688236747981376,-1.4877824436667657,-0.8799802298123142,2.0659512522294587,-0.9222857142857143,0.70554906711172,1.9527499153961638,1,0,0,0,0,0,0,0
7209,-0.5142382507680646,-0.0006241347174728701,0.18166769665699192,0.2778167557481828,-0.8161456504725454,0.1071428571428572,-0.5277199414967024,-0.6665074561531816,0,1,0,0,0,0,0,0
4461,-0.025682901553961766,-0.09586918500210294,-0.30150165821269226,-0.9943181883923335,-1.5139354347880887,0.7714285714285714,-0.8357897241136159,1.2043906663820652,0,0,0,1,0,0,0,0
4485,-0.17248440443612725,-2.1265817397065607,-0.3708919453776926,-0.7979118537426859,-0.5748454411866545,-0.12257142857142855,-0.6269975758523543,0.08185179286091704,0,0,0,0,0,1,0,0
293,-1.6829163707582282,-1.8732060525818321,-2.0871951216054545,-0.16474315065647283,1.8306535357118738,-0.6982857142857142,2.1589418480528435,1.5785702908891144,1,0,0,0,0,0,0,0
8054,0.4075203413733847,-0.3387060100807999,0.26662912855018367,-1.041615211161835,-0.21229487798098717,0.10371428571428587,-0.746416169738694,-1.4148667051672803,0,0,0,0,1,0,0,0
6471,1.1910115683977318,1.1313534652912307,0.16530107261332488,-0.1138711144624444,-1.2954446980217595,0.5634285714285716,-0.053012294984371225,-1.4148667051672803,0,0,0,1,0,0,0,0
497,-1.4193175165343817,-0.6169737566171002,-2.0644243743817885,-1.1276295276703245,1.2535138560392762,-0.1488571428571428,1.4893275305734646,-0.6665074561531816,0,0,1,0,0,0,0,0
7305,0.27530069314483946,2.0677959969704705,1.7858808181393981,0.16681079924176564,1.638873891764505,-0.5157142857142856,1.1101832529764515,-0.6665074561531816,0,0,1,0,0,0,0,0
1604,-1.5814564016881607,-1.905048528127457,-2.0826714514605196,0.9032130293112698,1.1859858123958362,-0.08457142857142852,2.113198668895018,0.8302110418750157,0,0,1,0,0,0,0,0
6573,-0.3952174867900927,-0.31847219325985804,0.3332828579657091,-0.38345562514641757,-0.23090260556273506,-0.44999999999999996,-0.46565850532186576,-1.040687080660231,0,0,0,0,0,1,0,0
6006,0.6712012624735781,0.6319725640265841,1.3842801885314298,-1.224423757885889,0.08152714302757916,0.9668571428571431,0.1533236365737652,0.4560314173679664,0,0,1,0,0,0,0,0
1431,-1.3303930085742917,-0.4413468214340913,-0.6385828243932085,-1.224423757885889,-0.5253248758481321,0.9731428571428573,0.5160523229264493,0.8302110418750157,1,0,0,0,0,0,0,0
3835,0.1599507735201122,-0.022064212976828257,-0.11451176010826856,-0.23503984800492317,-1.4917262115453573,0.7502857142857144,-1.0752109724608363,0.08185179286091704,0,0,1,0,0,0,0,0
1935,-0.44709803524689207,-0.2707266614058213,-0.367837037235856,-0.9821501857117045,-1.1768954658477209,0.4505714285714286,-0.42036901230642254,-1.4148667051672803,0,0,1,0,0,0,0,0
9201,-0.19478353025068032,0.014515765073255579,0.02270689260657625,0.044450185614136696,0.009197105169494745,-0.6785714285714286,-0.8645824927048076,-0.6665074561531816,0,1,0,0,0,0,0,0
6023,0.4346496572017622,-0.13548489808517789,0.20339575743218408,-0.7649969897626098,0.6328561037964616,-0.7008571428571428,-0.9165487541728439,-1.040687080660231,0,0,0,0,0,0,0,1
2822,-0.38139703477753506,-0.08197907012540097,-0.10358028319156108,-0.7374089541599892,-0.3287432376861189,-0.35685714285714276,-0.6396875208054676,1.9527499153961638,1,0,0,0,0,0,0,0
6001,-0.10635160799137634,-0.3892476206353694,0.06739142143932636,0.7147244129801945,-1.6730014931481907,0.922857142857143,-0.6809556532010136,0.08185179286091704,0,0,0,1,0,0,0,0
7943,0.864136132696863,0.6435160584836155,1.761192125358226,-1.0548988000830215,1.3738638360438065,-0.26342857142857135,0.5744772127157229,0.4560314173679664,0,0,0,1,0,0,0,0
4449,-0.7409398636000754,-0.5802215028653103,0.036299293135126455,-0.1281260361700453,0.42667047720515944,-0.5045714285714284,-0.09229391571050112,-1.040687080660231,0,0,0,0,1,0,0,0
9860,1.4611572394748829,0.655194637700207,0.805525726157018,-0.8660830376339615,1.0329222468040398,0.061142857142857165,0.20371267457551737,0.8302110418750157,0,0,0,0,0,1,0,0
4181,0.5093604214560229,-0.007419175953897181,-0.19754798784543998,0.02571944999378036,0.6913804082874427,-0.7565714285714285,-0.9338275609893647,-0.2923278316461323,0,0,0,0,0,0,0,1
5079,1.124962766844938,0.8957255483320753,0.06662124656905503,-0.5908620551682735,0.26610379565298065,-0.9231428571428572,-1.2828942547249567,-1.040687080660231,0,0,1,0,0,0,0,0
9310,-0.012824755692195502,0.17842371778544971,0.5612403766383994,-0.9458777613098925,-1.0352366365157053,0.31571428571428584,-0.7432653780712155,1.9527499153961638,1,0,0,0,0,0,0,0
5866,0.24622782850990332,0.9919396396394048,-0.1133640895620296,1.478257590475731,-0.004608628197608552,-0.09399999999999986,-0.6474597459230257,-1.4148667051672803,0,0,0,0,0,0,0,1
4019,-1.465456103097677,-0.9294431291665185,-1.6030509055212319,-0.5072952782819307,0.6439607154178275,0.4314285714285715,1.2938634082601201,-0.6665074561531816,0,1,0,0,0,0,0,0
937,-1.807920655482515,-2.0015674090074183,-2.0705213504651567,1.3208426831574525,1.13736562097256,-0.038285714285714256,2.2899175322855365,0.4560314173679664,1,0,0,0,0,0,0,0
4738,-0.015954197208554035,-1.7575448366590443,-1.9556745967640554,-0.8286192559025021,1.049429101916881,0.045428571428571596,1.3735643149741443,0.08185179286091704,0,0,1,0,0,0,0,0
1292,0.43927402592548154,0.7478332003965279,-0.1514797184856495,0.642210818132074,-0.7399139923150626,0.6060000000000003,-0.8106494583458052,-1.4148667051672803,0,0,0,0,0,0,0,1
6002,0.7067679695602181,-0.1435312779708156,0.5024206302188738,0.3051580167179548,0.011598102276816779,-0.10942857142857143,-0.5781405384708728,-0.6665074561531816,0,0,0,0,1,0,0,0
9472,0.2048120340534931,0.018703740202950306,-0.09001144765371172,0.7639457629709241,-1.597970333544369,0.8514285714285714,-1.1290809214896123,1.9527499153961638,1,0,0,0,0,0,0,0
9869,-0.19620802931474948,-0.5397156544217422,0.5070796814354195,0.4566260684303227,0.5101051266846092,-0.5840000000000001,-0.3791480140944852,0.08185179286091704,0,0,0,0,1,0,0,0
9422,2.1154708507958895,2.3315055838937497,2.085158485547016,-0.17682744618961915,0.11664172572216751,0.9334285714285717,2.1088725815581415,0.4560314173679664,0,0,1,0,0,0,0,0
6732,-0.7154477378280241,-0.38159432536214843,-0.5427413548323542,0.7891252363857113,-0.12495860820213872,-0.5508571428571427,-0.07937053602192637,-2.163225954181379,0,1,0,0,0,0,0,0
3196,-0.5373151831692954,-0.37745504589887646,-0.42938136866332066,0.793855374869077,-0.5592389599890594,-0.13742857142857146,-0.2733932816597508,-0.6665074561531816,1,0,0,0,0,0,0,0
8629,0.04414119976703136,-0.22656004898912713,-0.3290599533917472,0.2841400863510882,-0.1399648401229033,-0.5365714285714285,-0.7711429815675883,0.08185179286091704,0,0,0,0,0,1,0,0
5902,-0.5643546421148278,0.3013610620790572,0.5232001805404517,0.6430097318997982,-0.055629816728207375,-0.6168571428571428,-0.37328724107016004,-0.6665074561531816,0,0,1,0,0,0,0,0
4876,-0.9515435073172925,-0.2635090660647746,-0.37525686535004665,-0.49312877737881716,-0.4959126612834338,-0.19771428571428573,0.02391229130150757,-1.040687080660231,0,0,0,0,0,1,0,0
1135,0.24772414526310704,-2.1265817397065607,-0.09325477527797778,-0.7804337625886425,-0.37976442621671774,0.26314285714285734,-0.8102746032776156,-0.6665074561531816,0,0,0,0,0,0,0,1
1321,2.1271088371995033,-2.1265817397065607,-0.014141512428570552,2.686517874836958,0.10373636627031038,0.37428571428571455,0.6207073605317126,-0.6665074561531816,0,0,1,0,0,0,0,0
4690,-0.9423986160096306,-0.46757077807630165,-1.3897711920915408,0.5413874056104472,1.623867659843741,-0.5014285714285713,0.6395604363298417,0.08185179286091704,0,0,0,0,0,1,0,0
1228,0.03504785695783453,0.042094481984635085,0.08030174640370452,-0.4833417050668163,-0.39327003494540563,-0.2954285714285714,-1.0763757902963735,0.4560314173679664,0,0,1,0,0,0,0,0
8191,0.048881728795751984,0.11522816815365686,-0.013100062669684638,-0.4685572012800964,-1.0910598192609486,0.3688571428571428,-1.1317581521396536,-0.6665074561531816,0,1,0,0,0,0,0,0
